n,seed,lambda,iteration,marginal_violation
200,1200,1.0,1,1.2082146218930154
200,1200,1.0,10,0.014503833119079643
200,1200,1.0,20,0.000133938536933202
200,1200,1.0,30,1.2897061011209535e-06
200,1200,1.0,40,1.2495066598582072e-08
200,1200,0.1,1,1.7317219585509698
200,1200,0.1,20,0.7381486628765367
200,1200,0.1,40,0.2696037832928924
200,1200,0.1,60,0.09909947372758378
200,1200,0.1,80,0.03622788078940146
200,1200,0.1,100,0.013198744932925227
200,1200,0.1,120,0.005024812671575494
200,1200,0.1,140,0.0020398898245029846
200,1200,0.1,160,0.000903349247120204
200,1200,0.1,180,0.0004434144052890736
200,1200,0.1,200,0.00023805748997135327
200,1200,0.1,220,0.0001359212475550483
200,1200,0.1,240,8.051417295267763e-05
200,1200,0.1,260,4.861084085332548e-05
200,1200,0.1,280,2.9603999383809657e-05
200,1200,0.1,300,1.810693724394602e-05
200,1200,0.1,320,1.1104027465961425e-05
200,1200,0.1,340,6.819628867370427e-06
200,1200,0.1,360,4.191847738720111e-06
200,1200,0.1,380,2.577898434630646e-06
200,1200,0.1,400,1.585819862306645e-06
200,1200,0.1,420,9.757034129358189e-07
200,1200,0.01,1,1.7762809070199042
200,1200,0.01,25,1.6409978331043302
200,1200,0.01,50,1.4890370193474458
200,1200,0.01,75,1.3401032483458164
200,1200,0.01,100,1.1867870303834112
200,1200,0.01,125,1.0341385093887554
200,1200,0.01,150,0.920509102746784
200,1200,0.01,175,0.8304455156209014
200,1200,0.01,200,0.7242749423048959
200,1200,0.01,225,0.6521928501717876
200,1200,0.01,250,0.5699381584064442
200,1200,0.01,275,0.5076130982649587
200,1200,0.01,300,0.4515479506946567
200,1200,0.01,325,0.4103525189000671
200,1200,0.01,350,0.35435915741653606
200,1200,0.01,375,0.3130566046364733
200,1200,0.01,400,0.2771342608785335
200,1200,0.01,425,0.23874101558903893
200,1200,0.01,450,0.2070054554850818
200,1200,0.01,475,0.1798542745023724
200,1200,0.01,500,0.15548450917328463
200,1200,0.01,525,0.13829443916776585
200,1200,0.01,550,0.12386799916663496
200,1200,0.01,575,0.11082375827942213
200,1200,0.01,600,0.09885950537393558
200,1200,0.01,625,0.08838746871708558
200,1200,0.01,650,0.07884094827294362
200,1200,0.01,675,0.06926823164767221
200,1200,0.01,700,0.06012448792310979
200,1200,0.01,725,0.05230808340121168
200,1200,0.01,750,0.04578505255711872
200,1200,0.01,775,0.04036844792561338
200,1200,0.01,800,0.03591682156388649
200,1200,0.01,825,0.03212937209404684
200,1200,0.01,850,0.028687730356742578
200,1200,0.01,875,0.02553172468865557
200,1200,0.01,900,0.02283027892814303
200,1200,0.01,925,0.020615804922112173
200,1200,0.01,950,0.01869423713838419
200,1200,0.01,975,0.017058821354018705
200,1200,0.01,1000,0.015620221145621581
200,1200,0.01,1025,0.014181465383163998
200,1200,0.01,1050,0.012729732467501323
200,1200,0.01,1075,0.011325938692391341
200,1200,0.01,1100,0.010018050420959403
200,1200,0.01,1125,0.008819873546787736
200,1200,0.01,1150,0.007739234124449275
200,1200,0.01,1175,0.00677617335010995
200,1200,0.01,1200,0.005924578220166309
200,1200,0.01,1225,0.0051799558920724124
200,1200,0.01,1250,0.004527342239671215
200,1200,0.01,1275,0.003957550425570765
200,1200,0.01,1300,0.0034622900607573287
200,1200,0.01,1325,0.00303248906283042
